id,addr_street,addr_housenumber,building_levels,image_link,geometry,name
0,улица Шокана Валиханова,20,2,,"POLYGON ((71.4397005 51.1716556, 71.4406151 51.1717587, 71.4403505 51.1726814, 71.4394359 51.1725782, 71.4397005 51.1716556))",
1,улица Элимхана Сембинова,19/1,2,,"POLYGON ((71.4524182 51.1745398, 71.4520162 51.1739644, 71.4532809 51.1736172, 71.4537268 51.1742555, 71.453269 51.1743813, 71.453225 51.1743182, 71.4524182 51.1745398))",
2,улица Капал,4/1,2,,"POLYGON ((71.5448871 51.1316507, 71.544641 51.1310285, 71.5444998 51.1310505, 71.5444112 51.1308265, 71.5447788 51.1307692, 71.5448276 51.1308926, 71.5461934 51.1306798, 71.5464793 51.1314027, 71.5448871 51.1316507))",
3,улица Достык,9,,,"POLYGON ((71.4244795 51.1277078, 71.4243232 51.127345, 71.4249991 51.1272302, 71.4251305 51.1272079, 71.4258046 51.1270935, 71.425961 51.1274564, 71.426019 51.1275908, 71.4262967 51.1282354, 71.4248153 51.1284868, 71.4245375 51.1278423, 71.4244795 51.1277078))",Керуен
4,проспект Туран,37,10,,"POLYGON ((71.4049568 51.1322989, 71.4049812 51.1323703, 71.4049702 51.1324449, 71.4049377 51.1325231, 71.4048859 51.1325908, 71.4047883 51.1327013, 71.4046319 51.1328221, 71.4044825 51.1329009, 71.4043469 51.1329603, 71.4041682 51.1330029, 71.4039595 51.1330302, 71.4037524 51.1330393, 71.4035411 51.1330219, 71.4033441 51.1329707, 71.403175 51.1328893, 71.4030453 51.1327831, 71.4029637 51.1326596, 71.4029359 51.1325269, 71.4029637 51.1323943, 71.4030453 51.1322708, 71.40316 51.1321662, 71.4032874 51.1320965, 71.4034184 51.1320522, 71.4035747 51.1320098, 71.4037318 51.1319826, 71.4039405 51.1319758, 71.4041898 51.131986, 71.4043795 51.1320149, 71.4045611 51.1320642, 71.4047508 51.1321492, 71.4048863 51.1322292, 71.4049568 51.1322989))",Хан Шатыр
5,проспект Абылай Хана,27/3,3,,"POLYGON ((71.4876644 51.1580677, 71.4872047 51.157557, 71.4875502 51.1574346, 71.4880099 51.1579454, 71.4876644 51.1580677))",
6,улица Илияс Жансугирулы,8/1,4,,"POLYGON ((71.4827132 51.1608219, 71.481986 51.1600606, 71.4831004 51.1596419, 71.4838276 51.1604032, 71.4827132 51.1608219))","ТЦ ""АРУЖАН"""
7,Кургальжинское шоссе,1,3,,"POLYGON ((71.4135282 51.1456694, 71.4134452 51.145696, 71.413297 51.1457057, 71.4131498 51.1456909, 71.4130137 51.1456528, 71.412898 51.1455939, 71.4128106 51.1455182, 71.4127573 51.1454308, 71.4127419 51.1453378, 71.4127654 51.1452455, 71.4128262 51.1451601, 71.4129202 51.1450876, 71.4130408 51.1450327, 71.41318 51.1449993, 71.4133283 51.1449896, 71.4134754 51.1450044, 71.4136115 51.1450425, 71.4137272 51.1451015, 71.4142296 51.1451189, 71.4150931 51.1452466, 71.4149438 51.1458214, 71.4135282 51.1456694))",Keruen City
8,проспект Кабанбай Батыра,21,4,,"POLYGON ((71.410459 51.1277945, 71.4112622 51.1278356, 71.4112754 51.127882, 71.4120068 51.1277846, 71.4119818 51.1277126, 71.4122246 51.127621, 71.4123453 51.1275766, 71.4124048 51.1275535, 71.4124352 51.1275427, 71.4124511 51.1275373, 71.4124678 51.1275357, 71.4125318 51.1275483, 71.4125694 51.1275591, 71.4125967 51.1275797, 71.4126184 51.1276029, 71.4127328 51.1279162, 71.4127373 51.1279523, 71.4127364 51.1279913, 71.4127287 51.1280187, 71.4128009 51.1280447, 71.4128667 51.1280801, 71.4129218 51.1281218, 71.4129433 51.1281676, 71.4129511 51.1282074, 71.4129444 51.1282441, 71.4129133 51.1282763, 71.4128748 51.1283004, 71.4128224 51.1283173, 71.412789 51.128326, 71.4127122 51.1283304, 71.4126203 51.1283204, 71.4125486 51.1283042, 71.4124814 51.1282804, 71.4123444 51.1283365, 71.4105058 51.1286195, 71.4104414 51.128464, 71.4105494 51.1284452, 71.4105231 51.1283809, 71.4104163 51.1283746, 71.4104506 51.1281871, 71.4104119 51.1281136, 71.4104569 51.1281047, 71.410422 51.1280427, 71.4104668 51.1280322, 71.4104319 51.1279665, 71.4104745 51.1279569, 71.4104454 51.1279033, 71.410459 51.1277945))",Азия-Парк
9,проспект Богенбай батыра,62,3,,"POLYGON ((71.4346341 51.1779647, 71.4347791 51.1774296, 71.4348244 51.1774077, 71.436603 51.1775994, 71.4366361 51.1776241, 71.43651 51.1781519, 71.4364502 51.1781829, 71.43468 51.1780016, 71.4346341 51.1779647))",
10,улица Сакена Сейфуллина,47,6,,"POLYGON ((71.4357988 51.1735132, 71.4360009 51.172828, 71.4381125 51.1730728, 71.4380359 51.1733325, 71.4378953 51.1733162, 71.4378865 51.1733461, 71.4376792 51.173322, 71.4376446 51.1734396, 71.4373869 51.1734098, 71.4373049 51.1736878, 71.4357988 51.1735132))",Торговый центр Артем
11,улица Амман,14,2,,"POLYGON ((71.4452808 51.1495153, 71.4453068 51.1491933, 71.4453497 51.1491946, 71.445361 51.1490846, 71.4453207 51.1490832, 71.4453544 51.1486734, 71.4464197 51.1487093, 71.4463989 51.1489604, 71.4462698 51.1489563, 71.4462629 51.1490365, 71.4461342 51.1490327, 71.4461256 51.1491025, 71.4460077 51.1491004, 71.4460017 51.1491871, 71.4458349 51.1491811, 71.4458284 51.1492612, 71.4457851 51.1492585, 71.4457825 51.1492928, 71.4457352 51.1492909, 71.4457287 51.1493392, 71.4456742 51.1493365, 71.4456703 51.1493952, 71.4456009 51.149393, 71.4456009 51.1494104, 71.4455507 51.1494091, 71.445549 51.1494308, 71.4455173 51.1494292, 71.4455156 51.1494545, 71.4454632 51.1494531, 71.4454597 51.1494914, 71.44537 51.1494884, 71.4453674 51.1495175, 71.4452808 51.1495153))",
12,проспект Тауелсыздык,34,4,,"POLYGON ((71.4649208 51.140747, 71.4657212 51.139421, 71.4670336 51.1397329, 71.4666751 51.1403269, 71.4664589 51.1402756, 71.4660171 51.1410075, 71.4649208 51.140747))",Астана Молл (Ажар)
13,улица Каныша Сатпаева,14,4,,"POLYGON ((71.4735204 51.1454312, 71.4738265 51.1450411, 71.474547 51.1452636, 71.4744957 51.1453291, 71.4745882 51.1453576, 71.4744778 51.1454983, 71.4744022 51.1454749, 71.4742866 51.1456223, 71.4742051 51.1455971, 71.4741738 51.145637, 71.4741128 51.1456182, 71.474101 51.1456333, 71.4735603 51.1454663, 71.4735747 51.145448, 71.4735204 51.1454312))",Торговый центр Жайлы
14,проспект Бауыржана Момышулы,10,4,,"POLYGON ((71.4750741 51.1388413, 71.4751988 51.1386655, 71.4768528 51.1391319, 71.4768229 51.1391727, 71.4768948 51.1391707, 71.4769013 51.1392705, 71.4767527 51.1392705, 71.4767107 51.139267, 71.4766618 51.1392602, 71.4766245 51.1392542, 71.4765803 51.1392458, 71.4765296 51.1392344, 71.4765045 51.1392267, 71.4764382 51.1392061, 71.4763928 51.1391898, 71.4763278 51.1391591, 71.4762203 51.1391004, 71.4761515 51.1390579, 71.4760068 51.1390183, 71.4759769 51.139059, 71.4751932 51.1388378, 71.4751711 51.1388685, 71.4750741 51.1388413))",
15,проспект Туран,24,4,,"POLYGON ((71.4099941 51.1390814, 71.4098048 51.1386416, 71.4097889 51.1386055, 71.4097852 51.138574, 71.4097876 51.1385455, 71.4098072 51.1385002, 71.409833 51.1384656, 71.4105957 51.1376583, 71.4112725 51.1381489, 71.4110919 51.1382472, 71.4111532 51.1383118, 71.4106366 51.1386191, 71.410709 51.1386595, 71.4106688 51.1387016, 71.4108297 51.1387925, 71.4108644 51.1388834, 71.4107164 51.138918, 71.4107372 51.1389649, 71.4099941 51.1390814))",ТРЦ Сары арка
16,проспект Кабанбай Батыра,6/2,3,,"POLYGON ((71.423754 51.1459942, 71.4242279 51.1457351, 71.4242714 51.145762, 71.4242494 51.145777, 71.4244068 51.1458861, 71.4244381 51.1458692, 71.4245306 51.145928, 71.4245662 51.1459066, 71.424582 51.145918, 71.4240521 51.1462081, 71.423754 51.1459942))","ТЦ ""Каскад"""
17,проспект Нургисы Тлендиева,15,6,,"POLYGON ((71.3761271 51.1795664, 71.3772744 51.1790803, 71.3775911 51.1793862, 71.3777158 51.1794768, 71.3777563 51.1796213, 71.3777044 51.1796961, 71.3775386 51.1797548, 71.3773991 51.1797442, 71.3772427 51.1796851, 71.3770884 51.1796935, 71.3762494 51.1800372, 71.3761369 51.1800254, 71.3760526 51.1799776, 71.3760166 51.1799407, 71.3760027 51.1799037, 71.3760193 51.1798496, 71.3760563 51.1798152, 71.3761092 51.1797814, 71.3760846 51.1797609, 71.3761244 51.1797292, 71.3760492 51.1796764, 71.3761348 51.17963, 71.3761712 51.1796547, 71.3762059 51.1796397, 71.3761271 51.1795664))",
18,улица Мухтара Ауэзова,45,3,,"POLYGON ((71.4234301 51.1753881, 71.4236353 51.1746806, 71.4239068 51.1747052, 71.4239642 51.1747005, 71.4240502 51.17471, 71.424109 51.1747866, 71.4239461 51.1752803, 71.4239702 51.1754098, 71.4236987 51.1754212, 71.4234301 51.1753881))","Мечта, торговый дом"
19,улица Ушкултай Субханбердина,2,,,"POLYGON ((71.5121255 51.1454811, 71.5120511 51.1453938, 71.5119637 51.1454192, 71.5119139 51.1453546, 71.5125867 51.1451283, 71.5126285 51.1450796, 71.5127247 51.1450512, 71.5128037 51.1450596, 71.5128704 51.1450962, 71.5128944 51.1451461, 71.5128692 51.1452016, 71.5128048 51.1452367, 71.5127171 51.1452449, 71.512408 51.1454255, 71.5121255 51.1454811))",Small
20,улица Бейбитшилик,34,3,,"POLYGON ((71.4184507 51.1775965, 71.4188505 51.1776441, 71.4187694 51.1779117, 71.4183696 51.1778641, 71.4184507 51.1775965))",
21,проспект Абылай Хана,29,1,,"POLYGON ((71.4851979 51.1551602, 71.4853256 51.1552861, 71.4848661 51.1554695, 71.4847383 51.1553435, 71.4851979 51.1551602))",
22,проспект Абылай Хана,38,1,,"POLYGON ((71.486708 51.1535733, 71.4869273 51.153494, 71.4870802 51.1536604, 71.4868609 51.1537397, 71.486708 51.1535733))","""Бахус"" 5 Минут"
23,,,1,,"POLYGON ((71.4071551 51.1918183, 71.4073849 51.1917479, 71.4074267 51.1918014, 71.407877 51.1923782, 71.4080456 51.1923265, 71.4080764 51.1923659, 71.4076779 51.1924881, 71.4071551 51.1918183))",
24,Астана-Караганда трасса,45,3,,"POLYGON ((71.5734386 51.135232, 71.57386 51.136076, 71.5722193 51.1363986, 71.5719073 51.1357738, 71.5712303 51.1359069, 71.5715474 51.1365421, 71.5698924 51.1368674, 71.5694658 51.136013, 71.5734386 51.135232))",
25,улица Алексея Петрова,24,3,,"POLYGON ((71.4731745 51.1479999, 71.4720937 51.1477199, 71.4724346 51.1472104, 71.4740427 51.1476322, 71.4736996 51.148136, 71.4733627 51.1480487, 71.4732685 51.1481947, 71.4732019 51.148298, 71.473091 51.1484491, 71.4741397 51.1487318, 71.4738169 51.1492032, 71.4715247 51.1485855, 71.4718478 51.1481137, 71.4728944 51.1483956, 71.4731654 51.1479997, 71.4731745 51.1479999))",
26,шоссе Алаш,15,5,,"POLYGON ((71.4654531 51.1975985, 71.4638839 51.1969735, 71.4654741 51.1954058, 71.4660184 51.1956226, 71.4650228 51.1966046, 71.4660128 51.1970293, 71.4654531 51.1975985))",Central Market
27,проспект Кабанбай Батыра,62,3,,"POLYGON ((71.4044966 51.0901783, 71.4044912 51.0897143, 71.4039949 51.089629, 71.4039284 51.0895983, 71.4039016 51.0895292, 71.4039499 51.0894702, 71.4043212 51.0892669, 71.404002 51.0888616, 71.4045936 51.0887795, 71.4047828 51.0887781, 71.4050066 51.0888081, 71.4051568 51.0888233, 71.4053097 51.0888199, 71.4054519 51.0888014, 71.4055699 51.0887626, 71.4057013 51.088707, 71.4059132 51.088611, 71.4062349 51.0885322, 71.4065006 51.0885099, 71.4068305 51.0885402, 71.4070014 51.0885596, 71.4071819 51.0885571, 71.4072865 51.0885453, 71.4075038 51.088483, 71.4076835 51.0883987, 71.4084334 51.0881569, 71.4090407 51.0880753, 71.4096522 51.0880281, 71.4103813 51.0880306, 71.4106372 51.0884134, 71.4103228 51.0884627, 71.410304 51.0884964, 71.4108351 51.0885032, 71.4108458 51.0886143, 71.4110738 51.0886279, 71.4110363 51.0889344, 71.4107895 51.0889244, 71.4107787 51.0890456, 71.4104096 51.0890242, 71.4106393 51.0891535, 71.4109201 51.0894653, 71.4100277 51.0894635, 71.4089844 51.0895488, 71.4088549 51.0896336, 71.4087158 51.0896784, 71.4085608 51.0897109, 71.4083772 51.089726, 71.4082289 51.0897186, 71.4080886 51.0896788, 71.4064813 51.089903, 71.4060634 51.0900262, 71.4056557 51.0900161, 71.4044966 51.0901783))",Мега Силк Вей
